name	rawTweet
Guille_Cdba	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
JaviCas_99	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
imedusmiler	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
b0nilla_baTalla	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
TetyanaStadnyk	Great article - #Jamala’s Triumph at #Eurovision Reminds EUkraine to Take Cultural #Diplomacy Seriously https://t.co/V1LaGESCbh
_nereavaazquez_	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
CatalystEarth	The #Eurovision2016: Furious #Russia demands boycott of #deservedWinner #Ukraine over Jamala's 'anti-Kremlin' song https://t.co/FtDXdt9lp1
hasanlitarana	RT @wiwibloggs: Congratulations again to #Ukraine for winning #Eurovision 2016. Here are the lyrics to “1944” @Jamala_official https://t.co…
NedimASLAN1	LIVE - Jamala - 1944 (Ukraine) at the Grand Final of the 2016 Eurovision... https://t.co/19B4Gr2s3c via @YouTube
shinobi22427722	"RT @StormBringer15: #BREAKING
#LPR People's Militia reports
#lugansk #luhansk #Schastye #nato #osce #ww3 #merkel #poroshenko #jamala https:…"
WilhelmusJanus	"RT @christogrozev: Komsomolskaya Pravda: ""#Eurovision allowed the pawn Jamala to sing about 194 k deported Tatars, but not a word about wha…"
YuriOlesnevych	Jamala won🏆in Eurovision 2016 in Stockholm in Sweden.She amazing presented with incredible song.
Jorge_M_O	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
betweendulce	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Sl_gorge	"RT @marcelsardo: Best comment on #Jamala so far from @danaducessa: «She looks like an Israeli crisis actor» 

:-D https://t.co/p8wG2THoNi"
NastyaWebb	"RT @StormBringer15: #BREAKING
#LPR People's Militia reports
#lugansk #luhansk #Schastye #nato #osce #ww3 #merkel #poroshenko #jamala https:…"
kommud	The Guardian view on the Eurovision song contest: how to protest and survive | Editorial: Jamala’s song about... https://t.co/97qj5mcYwh
JocandaWilson	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
OrlovskyVova	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
novostidnua_en	Poroshenko wants Jamala to be UNICEF Goodwill Ambassador. https://t.co/jZeYb0s98t https://t.co/clBlKAmITT
Joana_______	RT @damiandmusic: Congrats to Jamala and Ukraine! You were the deserving winner this year and I'm truly happy for… https://t.co/TMJGjxmEI9
news_twtbird	#news - #breakingnews #Photo:President Petro Poroshenko gives Eurovision winner Jamala the… https://t.co/x0QPFW7SGD
xgm97	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
nkahirwa	RT @XSovietNews: LifeNews: Erdogan personally called Jamala and congratulated her on her win in Eurovision.  https://t.co/taKvJujKd6
novostidnua_en	Jamala received People's Artist of Ukraine title. Pics: https://t.co/YYg1Z1Cedw https://t.co/xFQA6UwzZW
e99c07ccfb97417	"RT @Fort_Russ_News: Fort Russ: #Jamala's ""Ukrainian"" Parents Prosper in Russian #Crimea https://t.co/X3oJ0k3Dpz #eurovision #russia"
TempestsHeart	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
novostidnua_en	"Jamala was offered Russian citizenship by Crimean occupational ""authorities"". https://t.co/v4jVNgvkJd https://t.co/5OoR5Fy3iE"
Moral_Animal	RT @Biz_Ukraine_Mag: #Jamala receives 'People's Artist of Ukraine' honour from President Poroshenko following #Eurovision win https://t.co/…
m_eigh	https://t.co/5uZ5p3f9AQ Who Is Jamala? #Eurovision https://t.co/nq0iN5t3pc 59254.49
PashaKoza	RT @UmlandAndreas: Jamala’s Triumph at Eurovision Reminds Ukraine to Take Cultural Diplomacy Seriously https://t.co/0WFNXMYICv
jonnypeopless	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
eurovisionfanmx	"@jamala winner of #Eurovision 2016 recognized by the government of Ukraine 🇺🇦 . ""I singing in defense of my country"" https://t.co/Kg5bSq2L6H"
YuriOlesnevych	Thank you Jamala for your song and congratulations on the victory.I very happy that the next Eurovision Song 2017 there will be in Ukraine
OlegisKing	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
DibrovaKseni	RT @OlhaSnitsarchuk: Jamala - 1944 (Ukraine) Winning Performance at the 2016 Eurovision Song Contest https://t.co/BX8Cwr6tBW
PashaKoza	RT @novostidnua_en: Jamala received People's Artist of Ukraine title. Pics: https://t.co/YYg1Z1Cedw https://t.co/xFQA6UwzZW
ArdalionBorisyc	@NoSethArmstrong @oliv917 @VeraVanHorne @maria_engstrom where are living @jamala parents?
Julianliendo	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
TanKISStka_UA	RT @novostidnua_en: Jamala received People's Artist of Ukraine title. Pics: https://t.co/YYg1Z1Cedw https://t.co/xFQA6UwzZW
TeamByrneMx	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
myReddies	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
UKRupdatestoday	RT @TheBankova: President awarded @jamala title of the People’s Artist of Ukraine https://t.co/2df8J9zHP5
CoolEmotion	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
AlexLigero26	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
NTenzer	"RT @CERAP_Paris: Here @NTenzer's piece on @Jamala - must-read #Eurovision
#CrimeaIsUkraine
#StopTatarspersecution
#Donotliftsanctions https…"
ArdalionBorisyc	"RT @VeraVanHorne: And the kicker: parents of @jamala are very happy in Crimea, became Russian citizens:D

https://t.co/aWtfHNtdfa https://t…"
AniaOsinskaB	"@jamala I'm in tears every time I hear ""1944"". Your voice gives me chills. Congrats! A well deserved win! @Eurovision #Eurovision"
666iljin666	Jamala - 1944 (Ukraine) Live at Semi-Final 2 of the 2016 Eurovision Song... https://t.co/YMZA2cJgpF likelayıııınnnnnn like like like
OlegisKing	@jamala Congratulations on the award of the title of People's Artist of Ukraine. Jamala you're our sunshine
JTargentina	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Rallarrosanna	RT @margotwallstrom: Must remember fate of Crimean Tatars in 1944 and onwards. Congrats @jamala! #Eurovision2016
DanielleRyanJ	@bulgakovreader I'm excited, it's gonna be awesome. We'll have era-appropriate costumes and everything. And a lot of Jamala-style wailing.
Qrismainhoe	RT @hazelhowl: After #Eurovision Jamala be like, https://t.co/Vj8L4ZNV72
lyalyaHorsky	RT @XSovietNews: Poroshenko to Jamala: The whole world was basically supporting Ukraine. Now Crimea is on front pages again. https://t.co/V…
lyalyaHorsky	RT @AtlanticCouncil: Jamala’s Triumph at #Eurovision Reminds #Ukraine to Take Cultural Diplomacy Seriously → https://t.co/xmOtfvHep5 https:…
Joank88amor	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
lyalyaHorsky	RT @EuromaidanPress: Not only Jamala scored a victory for Ukraine last weekend! Oleh Kuznetsov won the world breakdance championship: https…
115Fadi	@brunetka_lux @Bucksfizzboy @Eurovision @jamala another hoax, 15 millions of Germans died in real Holocaust, if only he would sing about it.
lisskin17	RT @UmlandAndreas: Jamala’s Triumph at Eurovision Reminds Ukraine to Take Cultural Diplomacy Seriously https://t.co/0WFNXMYICv
Topchanga	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
GlasnostGone	"RT @FEMEN_Movement: This is a huge contribution to the current fight of #Ukraine 
Congratulations to all, to #Jamala! https://t.co/pCDfvS9j…"
LTembassyIL	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
Dialog_UA	RT @1492news: Unbelievable Ukrainian victory at Eurovision 2016: Jamala conquered the world with emotio... https://t.co/y39cBDl2fY https://…
nasliii_st	LIVE - Jamala - 1944 (Ukraine) at the Grand Final of the 2016 Eurovision... Efsane..  https://t.co/oi1yoq9nw2
hotESCboys	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
Dialog_UA	RT @1492news: Can Putin send Lazarev to the Gulag prison now? How did Great Britain comment on Jamala’s... https://t.co/66HAaBBXgW https://…
AinoaTR	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
Dialog_UA	RT @1492news: Turkey supported Jamala’s victory at Eurovision 2016: This song has changed our lifes! https://t.co/WzoaETjpKX https://t.co/P…
dliceland	Iceland only country not to vote for Eurovision winner: Jamala scored zero both with Iceland's professional j... https://t.co/zprBOxrekt
Dialog_UA	RT @1492news: Jamala’s victory reminds that Ukraine is a great country - Mikheil Saakashvili https://t.co/INZCOl2MwA https://t.co/WOfiSxvyi4
ksenpotterhead	RT @1492news: Unbelievable Ukrainian victory at Eurovision 2016: Jamala conquered the world with emotio... https://t.co/y39cBDl2fY https://…
lockserheart	i dont get the point of asking sergey/jamala abt if lgbt ppl would be safe attending the competition next year if they won????
maikelowen1712	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
tanyahrabova201	"RT @RTorFAV_1: REQUESTED 
RT for Jamala (Ukraine) 
LIKE for Dami Im (Australia) #Eurovision https://t.co/luOPng27S1"
ACheinine	"RT @theLemniscat: For #Jamala1944: 
Crimea Tatar volunteers in the Nazi army parade before senior German officers, 1942
#Eurovision https:/…"
lasgemelis	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
hazelhowl	People, can you just stop acting like a bitch !? Jamala won the contest, It' s over and your hate is so pathetic that I feel sorry for you..
arabiblogger	Happy they did not identify Jamala as a Muslim? Happy they found out the truth quickly about Trafford? Happy Khan was welcome by Trump? Good
gtratwar	UNBELIEVABLE! Russia wants Jamala to become Russian &amp; shut up on deportation. VP Krim: 'Jamala moet Russisch worden' https://t.co/hjSpyR2nE2
hazelhowl	First Sergey haters then Amir haters and now Jamala haters ! Can they just leave this fandom please !?
Eurovisong	"JAMALA
The winner o Eurovision 2016
#Jamala #jamala1944 #Eurovision https://t.co/LC8JIvpMrZ"
m_eigh	https://t.co/5uZ5p3f9AQ Who Is Jamala? #Eurovision https://t.co/nq0iN5t3pc 60155.56
LuLudu457	"RT @RTorFAV_1: REQUESTED
RT for Jamala - 1944 
LIKE for Sergey Lazarev - You are the only one #Eurovision https://t.co/lyQd9Smawq"
eurovisia	"RT @Eurovisong: JAMALA
The winner o Eurovision 2016
#Jamala #jamala1944 #Eurovision https://t.co/LC8JIvpMrZ"
Verhovnaya69	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Mtvlatcom	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
andreu_pc	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
JenineKinder	"Ukraine: ""1944"" by Jamala - Winner of Eurovision Song Contest 2016 - BBC very politically charged. Wow   https://t.co/OS7jqgaUwE"
DonDurgad	RT @UnitedforUkr: .@pauloCanning Jamala's win must lead to support for Crimean Tatars https://t.co/wTGnT2sMr8 https://t.co/HHdXPeNlfc
crisjackd	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
waverleysoftwar	We WON!! #GoUkraine! #EurovisionSongContest #Eurovision Thank you @jamala !   https://t.co/ELkQLKGssS
alexmann13	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
AboutMEAST	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
Zhuk_News	"#Eurovision  Eurovision 2016 Results JAMALA ""1944"", UKRAINE.  STOP putin! https://t.co/YpfrDJnfxU   BREAKING NEWS https://t.co/p6XzKKUXVK"
C_NowackiESC	jamala won. get over it. seriously lol
STUCKYCIVIL	"RT @RTorFAV_1: REQUESTED 
RT for Jamala (Ukraine) 
LIKE for Dami Im (Australia) #Eurovision https://t.co/luOPng27S1"
Maikeeel	Douwe defending Jamala on #rtllatenight and saying 'Ukraine was one of my faves'. I love him! Thank you for a great year @douwe_bob
drummer_army	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Jazzii1234	RT @C_NowackiESC: jamala won. get over it. seriously lol
eurofanespain	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
TochnoNet	I liked a @YouTube video https://t.co/ggmwBdLnlP LIVE - Jamala - 1944 (Ukraine) at the Grand Final of the 2016 Eurovision Song Contest
JackTheFact29	@C_NowackiESC fun fact Jamala is the first practicing Muslim to win Eurovision :)
lidiya1407	RT @1492news: Turkey supported Jamala’s victory at Eurovision 2016: This song has changed our lifes! https://t.co/WzoaETjpKX https://t.co/P…
gtratwar	Really....! Crimea’s occupation authorities offer Jamala to become Russian citizen https://t.co/Cdhm5FIuPx via @censor_net
lidiya1407	RT @1492news: Can Putin send Lazarev to the Gulag prison now? How did Great Britain comment on Jamala’s... https://t.co/66HAaBBXgW https://…
twitero92	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
BeniBilirsin_01	RT @Irmak_Ye: Turks surprised to know Jamala is more #Armenian than Turk, despite Turkish words, have little knowledge of history. https://…
dima7b	Jamala’s Triumph at Eurovision Reminds Ukraine to Take Cultural Diplomacy Seriously https://t.co/nWoqKifcFK
LoreEmilyWorld	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
CF_BAREI	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
grandeshorny	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
YuliaPuchko	RT @novostidnua_en: Jamala received People's Artist of Ukraine title. Pics: https://t.co/YYg1Z1Cedw https://t.co/xFQA6UwzZW
p_estefi	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
WestlifeMEX	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
VictoriaMoyaSie	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
OleksaRusyn	RT @gtratwar: UNBELIEVABLE! Russia wants Jamala to become Russian &amp; shut up on deportation. VP Krim: 'Jamala moet Russisch worden' https://…
sergitobarrera	RT @Eurovision: Congratulations to Jamala from Ukraine- winner of the 2016 #Eurovision Song Contest! https://t.co/SUEfwQhLVu
UmlandAndreas	RT @TheOdessaReview: First calls to have #Odessa host #Eurovision2017 have been heard in wake of #Jamala victory! #jamala1944 #eurovision h…
hausofbrunet	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
jodidomugiwara	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
daniele19921	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
daniele19921	RT @ESCSamuel: @jamala congratulations! One of the most beautiful #Eurovision winners ever ♡
shatynska84	"RT @eurovisia: The moment when Jamala screams &amp; the LED tree grows behind her is the most powerful moment of any winning song
#Eurovision"
IrishEurovis15	"RT @ericlewan: I'm so proud  
I made this art in January, 26
when @jamala announced that she'll participate in national selection https://t…"
seboliiii	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
danithrones	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
theo_theo03	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
shatynska84	RT @posheur10: Thank you Jamala for everything, you deserved it so much, I don't care about the haters, I just care about this https://t.co…
tv_comento	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
replyua	"RT @molodyko: President @Poroshenko awarded Eurovision winner Jamala title of ""Honored Artist of Ukraine."" https://t.co/xscdBsnv6T https://…"
escismanu	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
actionScript3	"RT @StormBringer15: #BREAKING
#LPR People's Militia reports
#lugansk #luhansk #Schastye #nato #osce #ww3 #merkel #poroshenko #jamala https:…"
ArianaKPerry	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
DiplomacyWorld1	Kateryna Smagliy: Jamala's triumph at Eurovision reminds Ukraine to take cultural diplomacy seriously - Kyiv Post https://t.co/DsO7mRoLEW
DiplomacyPlaza	Kateryna Smagliy: Jamala's triumph at Eurovision reminds Ukraine to take cultural diplomacy seriously - Kyiv Post https://t.co/012SdFLjqo
2000qwerty2000	"RT @molodyko: President @Poroshenko awarded Eurovision winner Jamala title of ""Honored Artist of Ukraine."" https://t.co/xscdBsnv6T https://…"
DiegoMarroneSIR	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
veronicassev	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
Phantomblisss	Jamala sure has ppl squabling over her Wikipedia page. #eurovision https://t.co/BFkPGlJN5Q
WilnoLwiw	@WilnoLwiw You have to watch this. True video to Jamala's song. That's what bothers Russia.
shengerr	I liked a @YouTube video https://t.co/1AiXlV6yDe LIVE - Jamala - 1944 (Ukraine) at the Grand Final of the 2016 Eurovision Song Contest
ESC_Miki	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
m_eigh	https://t.co/5uZ5p3f9AQ Who Is Jamala? #Eurovision https://t.co/nq0iN5t3pc 61055.53
TinoTelde	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
keelyRH	RT @dreurovision: That's a wrap folks! Well done Jamala, Ukraine, SVT, Stockholm, EBU &amp; most importantly, my team! Cheers! #Eurovision http…
sakargazor	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
kouete2	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
tsnowbird5000	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
H2Currie	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
bello_candida	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
RoboRaspi	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
CWynnykWilson	#Jamala’s Triumph at #Eurovision Reminds #Ukraine to Take Cultural Diplomacy Seriously https://t.co/jcS93mn2h9
alex_jbutler	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
izharvm	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
17ThomasPaine76	@ufukcanlijr @zaraftbergling @Eurovision @jamala The terrorist are the Turks who indiscriminately kill civilians&amp;deny the Armenian genocide.
LazarusUA	"RT @molodyko: President @Poroshenko awarded Eurovision winner Jamala title of ""Honored Artist of Ukraine."" https://t.co/xscdBsnv6T https://…"
RonaldReschke	"RT @MicroCharmelle: Second left grandfather Jamala!. Ordinary fascist, that ""the tyrant Stalin sent him to Kyrgyzstan""!
@antonio_bordin htt…"
pablo_talifan	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
nagornaya_nata	"RT @molodyko: President @Poroshenko awarded Eurovision winner Jamala title of ""Honored Artist of Ukraine."" https://t.co/xscdBsnv6T https://…"
animaz_	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
animaz_	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
cafael	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
opzahn	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
manishuk	RT @AppleNewsUK: #TopStories: Boris compares EU to Hitler, Ukraine's Jamala wins #Eurovision &amp; more https://t.co/cY2vUAOtwV https://t.co/HS…
carloskcat	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
Eurovisions15	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
StormBringer15	"#BREAKING UAF are shelling the south of DPR from the captured #Shirokino
#ukraine #donbas #mariupol #nato #osce #donetsk #russia #jamala #eu"
JeffatCyLabInc	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
1971Tscosa	"RT @StormBringer15: #BREAKING
#LPR People's Militia reports
#lugansk #luhansk #Schastye #nato #osce #ww3 #merkel #poroshenko #jamala https:…"
i_cant_hang	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
1svensktiger	"RT @DarthPutinKGB: Going to offer my congrats in person to #Jamala and ""Ukraine"" for winning #Eurovision https://t.co/u91iZLZEua"
AlviiTeam	RT @damiandmusic: Congrats to Jamala and Ukraine! You were the deserving winner this year and I'm truly happy for… https://t.co/TMJGjxmEI9
yaganshin	@MrESCovic yes I love you Ukraine  Kiev and Jamala Ukraine beautiful 🇺🇦✨❤
vaddieg	That's what #jamala #EurovisionSongContest song really about https://t.co/t2kWCyHJtN
MADOZOl	Man patika @YouTube videoklips https://t.co/eB5lorUtFV LIVE - Jamala - 1944 (Ukraine) at the Grand Final of the 2016 Eurovision Song
rockybeethoven	RT @EuromaidanPress: Russian coverage of Jamala’s victory descends to the level of old Soviet anecdote https://t.co/3KiPGGae51 https://t.co…
_Keijo_	RT @C_NowackiESC: jamala won. get over it. seriously lol
besiktaslimurat	@jamala congratulations Jamala, many loves from İstanbul 💋👍🇹🇷🇺🇦
estela_luxi	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
LoreEmilyWorld	RT @SterlingMolly: So happy for @jamala . Insanely beautiful vocal technique. #Eurovision
StarinaTweets	Congratulations to Jamala for winning the 61st Eurovision Song Contest.
besiktaslimurat	"RT @jamala: Thank you for your love! 

#джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr"
gizhkoandrii	@ESCSamuel @CommonESCGirl russns went bananas over Jamala`s win. They make Sergey to listen to all this games even though he is friend of J.
BosniaqueDeLyon	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
JaviCas_99	"RT @CalmAfterTheTim: On #RTLLN they're shitting on Jamala but Douwe defends her saying ""she was one of my favourites"". #Eurovision"
jamie_lee___	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
jamie_lee___	@jtimberlake @jamala  thanks youuu♥♥
escfroot	RT @C_NowackiESC: jamala won. get over it. seriously lol
AitorGrand	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
AlviiTeam	@jamala  congratulations. one hugs from Argentina ☺☺😊😘 https://t.co/sFq7VzmaDA
sergiopcdd	RT @BAREI_MUSIC: The most beautiful prize has been sharing music with all of you @Kaliopi_KMP @j_pootsmann @jamala @NikaKocharov &amp; @Y_G_L @…
